,Z,Var_tot_a,Var_A1_a,Var_A2_a,Var_A3_a,Var_A4_a,Var_tot_b,Var_A1_b,Var_A2_b,Var_A3_b,Var_A4_b,Var_tot_c,Var_A1_c,Var_A2_c,Var_A3_c,Var_A4_c,Var_tot_d,Var_A1_d,Var_A2_d,Var_A4_d,Var_A4_d,Std_tot_a,Std_A1_a,Std_A2_a,Std_A3_a,Std_A4_a,Std_tot_b,Std_A1_b,Std_A2_b,Std_A3_b,Std_A4_b,Std_tot_c,Std_A1_c,Std_A2_c,Std_A3_c,Std_A4_c,Std_tot_d,Std_A1_d,Std_A2_d,Std_A4_d,Std_A4_d
20,-79.75,5.237040549113893e-11,7.261889258938654e-12,2.3620092713338624e-11,,2.1456633650854159e-13,4.381141212798576e-11,8.420109009163214e-12,3.6325085357946156e-11,,1.712840065166236e-12,3.033781652129167e-11,8.548233086104542e-12,3.283136182294362e-11,,4.6293656349304745e-12,2.2495376902172383e-11,7.463796051992636e-12,2.722222147279749e-11,4.055863163022643e-12,4.055863163022643e-12,2.454055267121901e-06,2.5172485136880757e-06,4.229128663911183e-06,,4.2061696690407953e-07,3.428047013056843e-06,2.802766665499691e-06,5.793790471489488e-06,,1.2860783313769196e-06,3.2582821672262374e-06,2.885834136102227e-06,5.633505365783123e-06,,2.1253416015297728e-06,3.0393772932937686e-06,2.716881624789154e-06,5.170767646316902e-06,1.9928404377966487e-06,1.9928404377966487e-06
21,-85.25,5.1061560466975514e-11,8.089997851061006e-12,2.6345779390345986e-11,,2.168072627570023e-13,4.2771952229420204e-11,9.367368184113893e-12,4.031584855170247e-11,,1.9158713516460946e-12,2.9589891651674445e-11,9.389970870281506e-12,3.603262137731487e-11,,5.08683062510407e-12,2.183939153610991e-11,8.023859343270295e-12,2.940749888772458e-11,4.395206352567656e-12,4.395206352567656e-12,2.494945973629646e-06,2.659844055850315e-06,4.468123226096652e-06,,4.229131161916201e-07,3.450102714504081e-06,2.956686632740236e-06,6.105090625449201e-06,,1.3600570989825795e-06,3.2701919368060175e-06,3.024617087615452e-06,5.900117823013623e-06,,2.226605819186428e-06,3.0342263186260146e-06,2.8163434024180473e-06,5.373168027556105e-06,2.073356251790818e-06,2.073356251790818e-06
22,-90.75,4.987079991031708e-11,8.99860607932678e-12,2.934441268285243e-11,,2.193400803359356e-13,4.1834987133074396e-11,1.0399494088126375e-11,4.465140853727468e-11,,2.149423226092997e-12,2.891003336194013e-11,1.0283707220186735e-11,3.944998599301101e-11,,5.597945980071276e-12,2.1250843043489573e-11,8.608864478015858e-12,3.168445130366383e-11,4.786962082693341e-12,4.786962082693341e-12,2.531618770980674e-06,2.8082233877903536e-06,4.717906323310417e-06,,4.255166037086963e-07,3.469732348994549e-06,3.115943692675004e-06,6.427035770902537e-06,,1.4404720303691429e-06,3.2815290097633553e-06,3.165411341528806e-06,6.172057192345605e-06,,2.334510685039862e-06,3.029168348687946e-06,2.916562711329114e-06,5.57617981484901e-06,2.162709483590717e-06,2.162709483590717e-06
23,-96.25,4.843543404156853e-11,9.78751609220402e-12,3.1962173563434694e-11,,2.1950362663801703e-13,4.0689663615083875e-11,1.1285635956550934e-11,4.8352717247431504e-11,,2.3664255508560923e-12,2.812350178678911e-11,1.1011352335757194e-11,4.225858090610864e-11,,6.045964270836344e-12,2.0601423437262635e-11,9.054502384044533e-12,3.343930428509474e-11,5.135503832867058e-12,5.135503832867058e-12,2.549744672350152e-06,2.9314880229940433e-06,4.9267136814859536e-06,,4.258362815645629e-07,3.4675251474021692e-06,3.2467129731393337e-06,6.690700275154475e-06,,1.5113549770806116e-06,3.27446673047967e-06,3.2756807253036826e-06,6.38677614928922e-06,,2.4249731724854593e-06,3.0092915739938284e-06,2.9904792168666362e-06,5.727402169517895e-06,2.2391989236735785e-06,2.2391989236735785e-06
24,-101.75,4.6483785479254545e-11,1.041473621690405e-11,3.406195119275019e-11,,2.171080233713753e-13,3.9127704459357516e-11,1.1978216341720494e-11,5.122338084927143e-11,,2.556452867346651e-12,2.710255879854684e-11,1.153254068520348e-11,4.4308483118945267e-11,,6.4067538166459844e-12,1.980870786560209e-11,9.335313102019664e-12,3.4577285351318096e-11,5.419229675657469e-12,5.419229675657469e-12,2.5494221008417998e-06,3.0265020176425284e-06,5.089275788203466e-06,,4.236827393844681e-07,3.443416819001008e-06,3.3456725176420782e-06,6.889482055836703e-06,,1.5707948382368592e-06,3.247822708248463e-06,3.352554298904022e-06,6.538916364448368e-06,,2.495235602584422e-06,2.973216663437123e-06,3.03587545561495e-06,5.8228397546149954e-06,2.2995510456531303e-06,2.2995510456531303e-06
25,-107.5,4.504169248234205e-11,1.1050985493339548e-11,3.620210610492948e-11,,2.160642920118833e-13,3.79827712680599e-11,1.2674696542347778e-11,5.411321640884351e-11,,2.760740407250882e-12,2.6388132765375528e-11,1.2042858136353418e-11,4.635123361749171e-11,,6.785484391879538e-12,1.925144232817601e-11,9.614932329949661e-12,3.570147866362904e-11,5.725604037601036e-12,5.725604037601036e-12,2.5560229687678384e-06,3.1199472450352693e-06,5.250411155731516e-06,,4.2285187484591e-07,3.4313936074814206e-06,3.442471134163435e-06,7.084560521234816e-06,,1.632287713348302e-06,3.2338573348022267e-06,3.4262084291330023e-06,6.687260429677356e-06,,2.5669818283614792e-06,2.950176796924614e-06,3.0803576277725075e-06,5.915379954293044e-06,2.3631455488183227e-06,2.3631455488183227e-06
26,-113.75,4.498328164764705e-11,1.197273034713713e-11,3.9291370618401166e-11,,2.2128201862580893e-13,3.80344677375331e-11,1.3691537366577017e-11,5.837317051528228e-11,,3.0501246577339543e-12,2.6544781128928157e-11,1.2840003346381584e-11,4.9534536020925e-11,,7.350957614609636e-12,1.9343590127626126e-11,1.012856058666364e-11,3.768529046199e-11,6.1951800591380976e-12,6.1951800591380976e-12,2.59858041673184e-06,3.2497027167081734e-06,5.473905776621364e-06,,4.281276869475776e-07,3.4693618226096447e-06,3.578888333131642e-06,7.3618809236069865e-06,,1.7156465049299887e-06,3.26797956902076e-06,3.538087806683379e-06,6.9125971724957345e-06,,2.6709269082586838e-06,2.972392943353398e-06,3.1608657613066034e-06,6.075935810412719e-06,2.4577540502018323e-06,2.4577540502018323e-06
27,-120.5,4.4708410364959466e-11,1.2879338564503718e-11,4.2355339238228075e-11,,2.2562195464617762e-13,3.792898182591716e-11,1.4679448086667066e-11,6.250651356459812e-11,,3.357843371507865e-12,2.659910135985137e-11,1.3574928045982159e-11,5.252910519605451e-11,,7.919517919173791e-12,1.937159623019099e-11,1.0587701626969727e-11,3.9458720805445934e-11,6.6719956914928955e-12,6.6719956914928955e-12,2.6354276903289555e-06,3.372810297839362e-06,5.688101696539809e-06,,4.3253428718424143e-07,3.4994013276831123e-06,3.7069268973277646e-06,7.6224389832064886e-06,,1.8000475915003577e-06,3.295044053318669e-06,3.6382680513548837e-06,7.11815537400475e-06,,2.7714116214746205e-06,2.9886939051458613e-06,3.2308971825989925e-06,6.2153018031218435e-06,2.5502853438185822e-06,2.5502853438185822e-06
28,-127.75,4.164266321699222e-11,1.2948707660696058e-11,4.2688475984038544e-11,,2.1577788096709815e-13,3.547607326535414e-11,1.470444350777131e-11,6.254609033214588e-11,,3.467408084477756e-12,2.504159348980353e-11,1.3398344159804745e-11,5.203958061280015e-11,,7.98665406849913e-12,1.8257890245606962e-11,1.034277390072793e-11,3.858659250705761e-11,6.7312568068602086e-12,6.7312568068602086e-12,2.588187577648726e-06,3.38415398204204e-06,5.715751533978531e-06,,4.232405682140268e-07,3.418123219712374e-06,3.711395956342512e-06,7.629678147193237e-06,,1.8291105983152319e-06,3.218483514290486e-06,3.614866757085712e-06,7.084775566469e-06,,2.782278429414198e-06,2.9120986761225368e-06,3.1923962051101535e-06,6.1439481432177506e-06,2.561397347059961e-06,2.561397347059961e-06
29,-135.5,4.053134426775402e-11,1.3528078386404314e-11,4.472737301373031e-11,,2.1540611651455782e-13,3.4672845892190174e-11,1.5301192857113046e-11,6.503061901210924e-11,,3.734725240046749e-12,2.460919088207909e-11,1.3728506420972771e-11,5.3556358771935286e-11,,8.382567682686137e-12,1.7940055031816392e-11,1.0501710694858014e-11,3.91892516545168e-11,7.071900530232293e-12,7.071900530232293e-12,2.59538490825652e-06,3.4612717561231898e-06,5.856637503323723e-06,,4.2314381732214033e-07,3.409042229105729e-06,3.7874472247419146e-06,7.785086211831269e-06,,1.898228539752453e-06,3.2097379738873144e-06,3.6594707880939434e-06,7.187346696922321e-06,,2.84956417702113e-06,2.8972126610236687e-06,3.2158229389734287e-06,6.189109868971968e-06,2.6253280350282933e-06,2.6253280350282933e-06
30,-143.75,3.969556910697447e-11,1.4150502105844008e-11,4.694169690225827e-11,,2.1633726045328445e-13,3.4079129071761526e-11,1.593755185928121e-11,6.769735752989071e-11,,4.041737533816433e-12,2.430355111100024e-11,1.4074851269161684e-11,5.517725098469208e-11,,8.820697963507907e-12,1.7729877224320496e-11,1.0683825644283098e-11,3.983865602574708e-11,7.452794907563701e-12,7.452794907563701e-12,2.608558185607494e-06,3.5421569231165804e-06,6.006437824679061e-06,,4.243437446720076e-07,3.40781705605041e-06,3.867066592354975e-06,7.948905028150908e-06,,1.974612844472215e-06,3.2083993608262555e-06,3.705664069077801e-06,7.295533796617323e-06,,2.9222559384186587e-06,2.89010556948181e-06,3.24251313157243e-06,6.237213540434035e-06,2.6951369605386893e-06,2.6951369605386893e-06
31,-152.6,3.769530323481926e-11,1.4328244624887197e-11,4.771209297457123e-11,,2.113458041422867e-13,3.250449409511574e-11,1.6067202241032953e-11,6.822816222124733e-11,,4.2472240066204136e-12,2.3272623944948025e-11,1.3965392835819342e-11,5.503323525095775e-11,,8.994631108017092e-12,1.699370194141408e-11,1.0534239308377877e-11,3.920611361619363e-11,7.615375198511777e-12,7.615375198511777e-12,2.584999044166047e-06,3.5663152287239597e-06,6.062493026181921e-06,,4.197172106788116e-07,3.3584605965167103e-06,3.8845568171424044e-06,7.986063239906228e-06,,2.0240694065399793e-06,3.161290001505592e-06,3.691519841585423e-06,7.286347591659679e-06,,2.9501220788328076e-06,2.842331864544855e-06,3.2186655224583662e-06,6.184288182789612e-06,2.7245364237334048e-06,2.7245364237334048e-06
